,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
9195,8,48,0,6,3
4128,7,83,1,6,2
1172,8,89,0,7,8
8668,5,97,0,7,2
4222,8,61,0,8,9
4834,1,69,1,7,1
2576,6,50,0,5,5
1989,5,93,1,8,4
6973,1,81,0,6,6
5836,7,89,1,7,4
4532,3,89,0,5,2
3209,1,46,0,8,8
3855,3,61,1,8,7
2628,5,93,0,7,1
7803,6,54,0,8,6
1410,9,86,1,9,8
8257,5,74,1,5,0
7386,2,94,1,9,8
4303,1,55,0,5,4
6750,2,44,0,5,0
6555,6,73,1,7,1
815,8,63,1,9,5
2404,8,91,0,4,6
5397,2,46,1,4,5
9956,4,80,1,9,1
2131,5,56,1,7,6
1797,8,73,1,8,8
3090,4,97,1,7,6
4184,3,73,0,7,6
4564,7,43,0,4,2
5030,7,45,0,7,5
8048,3,80,0,6,6
122,5,60,0,4,5
179,2,96,0,8,7
9250,5,46,1,7,7
8095,8,48,0,6,4
6429,1,80,1,5,4
9737,6,75,0,4,2
4992,6,89,0,5,5
1157,8,99,1,8,9
9003,7,88,0,8,2
1532,3,51,1,4,0
8992,3,98,1,4,3
7859,9,63,0,9,7
9110,4,59,1,9,5
1535,3,64,1,9,8
9259,1,80,1,6,8
5517,5,67,1,6,1
2605,6,70,0,4,2
6127,5,42,1,6,0
9141,4,41,1,8,7
7458,8,99,0,9,6
2177,6,54,1,8,7
7990,5,93,1,6,5
2351,3,92,0,9,7
9177,1,55,0,9,3
3502,8,68,1,5,3
2134,3,57,0,9,0
1480,6,77,0,6,4
2793,1,70,0,4,9
4843,5,82,1,9,9
9780,1,84,0,8,3
9934,3,85,0,7,6
4762,8,52,1,7,2
7191,5,68,0,6,5
6041,4,40,0,9,4
9636,2,95,1,5,7
3445,3,81,0,5,8
8149,7,85,1,8,8
7765,9,63,1,7,8
3620,9,44,1,9,7
1952,3,41,0,6,5
555,5,82,1,4,1
4264,4,61,1,5,9
1163,1,81,1,5,4
1584,5,89,1,4,2
6151,6,76,1,4,0
9720,7,49,1,5,7
5837,8,70,1,6,3
5261,7,65,1,7,3
5239,2,73,1,7,9
7913,7,87,1,4,7
9162,3,48,1,5,1
1598,3,78,1,6,9
7182,8,94,0,7,7
300,1,99,1,4,6
9660,9,41,0,7,9
6947,4,40,1,4,7
3794,4,67,0,8,5
4572,2,54,1,5,2
4335,1,58,0,5,1
2858,9,82,0,5,3
5694,7,74,0,9,8
3142,3,78,0,8,8
1359,3,72,1,9,2
4533,6,65,0,8,1
9749,1,41,1,6,7
5687,4,61,1,9,9
486,5,80,1,9,9
7836,6,89,0,6,9
9554,9,81,1,5,1
5900,1,48,0,4,2
8116,6,71,1,4,7
7362,2,46,0,9,5
1152,1,46,0,9,8
5382,1,63,0,9,3
9741,6,56,0,8,4
5424,5,95,1,5,6
8807,5,79,1,8,0
5186,6,70,0,8,1
8409,2,77,1,9,6
6189,9,40,1,4,7
9702,3,83,0,8,1
8269,1,40,0,4,3
5314,5,71,1,5,0
9903,6,84,0,9,0
665,3,87,1,7,5
3353,8,75,1,4,1
8851,9,84,1,6,0
8061,8,49,0,4,0
642,4,44,0,9,1
9242,3,97,1,6,0
176,8,58,0,5,1
6431,2,48,1,6,3
9910,1,61,1,9,5
3438,7,99,0,4,1
786,2,92,0,9,0
6391,1,62,0,7,7
9065,6,89,1,7,8
9927,7,80,1,4,8
3202,2,78,1,4,5
4803,9,54,0,8,9
7835,3,43,1,6,1
7940,5,91,0,8,9
91,7,47,1,6,3
5762,4,43,0,6,7
9027,3,85,0,8,0
9504,1,58,1,8,8
8237,3,94,1,4,2
1971,5,78,1,8,1
2905,2,47,0,9,5
530,2,52,1,7,8
3635,6,53,0,6,8
996,1,56,0,4,1
5852,4,71,1,8,2
4226,9,90,0,8,9
5616,2,85,0,6,6
2312,9,47,0,5,2
2154,2,84,1,8,0
5317,9,83,1,4,3
1427,5,42,1,6,4
8630,9,48,1,7,3
6032,7,47,1,7,5
4415,8,52,0,6,2
8818,5,75,0,7,6
3085,8,89,1,5,5
7798,5,51,0,7,7
9153,9,41,1,6,2
8209,1,64,0,7,7
9573,7,67,1,8,6
9534,7,62,1,7,4
495,7,67,0,7,0
3749,6,64,0,8,0
2321,7,48,0,9,1
4267,1,97,0,5,5
3405,4,43,0,6,7
151,2,53,1,8,9
7369,3,72,0,8,2
694,7,72,1,4,3
4417,5,55,1,7,4
5697,7,42,0,6,3
1738,4,46,1,5,4
3001,3,72,1,6,6
167,2,62,1,7,9
6111,1,52,0,8,8
4622,6,56,0,4,9
2865,8,71,0,8,9
8544,6,57,0,7,5
4702,1,94,0,6,8
2883,3,62,0,8,1
3031,3,99,0,8,8
8183,9,52,1,9,9
8980,3,86,1,9,8
8528,9,73,1,6,5
5681,8,98,1,8,2
7209,4,91,0,6,3
5991,3,86,1,5,1
2276,7,69,1,5,8
7132,1,56,0,7,4
5705,7,70,0,4,7
7998,7,53,1,6,3
5292,5,68,1,8,7
4304,8,93,0,6,0
7445,3,88,1,7,8
428,5,64,1,6,7
7068,6,99,0,4,2
6364,5,61,0,4,7
4215,8,85,1,7,0
426,9,86,1,6,9
2223,6,80,1,4,8
100,3,50,0,5,4
9244,3,60,0,7,5
3307,2,58,1,5,9
2762,6,94,1,5,3
5857,5,71,0,7,5
4738,7,84,1,6,1
7092,9,89,1,8,6
9632,1,54,0,6,6
3286,4,46,1,7,1
7712,8,77,0,8,9
7868,4,49,0,5,5
6067,1,46,0,8,5
9235,1,56,0,8,2
3577,9,90,1,8,7
1465,3,66,0,8,8
7675,7,92,1,4,0
2234,4,54,0,4,9
1744,8,46,0,9,5
9754,7,74,1,7,4
6094,6,55,1,7,0
8781,1,96,0,7,9
9401,3,64,1,5,2
8371,3,81,1,8,5
5027,1,88,1,8,4
9234,5,54,1,7,2
3944,2,49,0,8,5
6862,1,71,1,6,0
5350,5,66,1,9,7
9422,7,40,1,8,6
2121,6,59,1,7,9
4972,2,83,1,8,4
8576,1,88,0,9,2
3784,8,42,0,7,5
6872,2,42,1,6,0
916,1,42,1,6,3
9394,4,67,0,9,3
7252,4,99,1,7,7
8012,3,56,0,9,7
5821,9,55,0,8,8
4403,5,75,0,9,3
4863,5,41,1,4,8
8515,3,74,1,8,8
5422,1,66,1,5,3
7733,3,44,1,5,7
1203,2,98,1,6,3
3768,6,83,1,4,6
5357,2,54,0,8,0
3852,6,94,0,6,5
1926,5,96,1,6,7
3114,8,85,1,6,8
2641,3,40,0,6,1
7639,5,53,0,7,2
7360,8,92,0,5,0
8182,6,87,1,6,6
7610,1,96,0,9,5
2728,1,72,1,5,9
9597,5,98,0,6,6
4985,9,99,0,6,6
6846,3,70,0,8,1
7698,9,57,1,7,2
4012,8,49,0,9,8
2626,1,62,0,8,9
7238,6,60,1,7,6
8255,5,98,1,6,3
9565,7,73,1,7,0
805,2,47,0,8,6
4634,2,70,1,8,5
5247,4,87,1,8,4
5566,7,85,1,8,0
5739,5,48,0,6,4
5143,7,54,0,5,6
8265,1,58,0,8,6
4459,3,62,0,4,6
1242,4,79,1,6,2
6945,6,48,1,5,6
5740,2,44,1,4,0
5325,1,48,0,9,5
547,2,43,1,7,8
3022,3,74,0,4,8
5761,9,99,0,5,6
4031,8,89,0,5,3
26,4,79,0,8,9
4952,9,92,1,9,5
5152,9,85,0,9,2
2508,3,69,1,4,1
1433,6,86,1,5,1
2582,5,74,0,9,2
1302,3,90,0,5,8
5812,7,62,1,9,2
7349,2,49,1,8,7
5281,6,59,0,7,3
6114,9,65,1,7,3
1221,4,49,1,8,6
7435,2,56,0,8,2
2548,2,60,0,8,3
750,3,54,0,5,5
437,7,58,0,5,7
4371,3,66,0,4,6
4448,5,91,0,4,5
2847,9,53,1,4,9
1173,2,69,1,5,4
7495,6,70,0,6,8
2699,3,77,1,5,1
9888,7,78,1,6,4
9506,4,86,1,7,2
6395,5,62,1,7,9
2481,3,82,1,9,7
5456,7,52,0,8,5
8444,5,92,0,5,9
2706,7,46,0,8,9
4661,1,66,1,8,7
326,6,45,0,4,0
1039,5,42,1,8,8
2637,9,99,0,9,4
5022,3,91,0,7,7
2499,6,92,1,9,7
1004,9,40,0,9,8
2861,1,55,1,8,9
3233,7,75,1,6,9
1870,2,71,1,8,8
4245,9,48,1,7,5
6927,2,40,0,5,1
8385,1,48,0,5,7
534,5,50,1,4,3
9827,4,88,0,6,0
7148,7,90,1,7,5
7365,6,57,0,4,0
585,6,52,1,6,6
9914,4,51,1,8,0
3035,2,57,0,7,8
4428,5,67,1,4,0
4089,6,63,0,6,9
1703,5,78,1,5,9
4295,5,44,1,9,8
5719,9,70,0,9,3
491,1,43,1,7,4
6899,5,43,0,9,7
4353,5,70,1,6,3
2836,1,82,1,7,3
2266,9,57,1,5,9
7718,4,56,1,5,3
9523,8,65,0,7,3
8022,6,46,1,4,1
4707,3,43,0,6,8
9843,9,87,1,5,9
2900,5,52,0,6,2
9618,3,62,0,9,6
2944,5,82,1,4,6
1916,1,59,1,7,9
3185,9,66,1,4,7
8626,5,77,1,6,9
9434,5,91,1,7,5
7255,9,84,1,6,2
4246,5,86,0,9,2
8615,6,73,1,9,6
5146,7,70,0,9,5
8565,6,48,1,8,1
2518,3,55,0,9,4
397,8,49,1,6,9
1317,6,84,0,6,4
4560,2,76,1,5,7
121,9,92,1,8,0
2449,3,80,1,7,0
8855,7,54,1,5,3
8108,3,56,1,8,7
1566,8,94,1,7,4
1984,6,43,1,6,4
4333,1,84,0,6,8
7910,3,40,1,5,2
9286,8,52,1,6,9
3918,2,58,1,6,1
2173,4,81,0,7,9
3283,5,52,1,8,5
8495,4,99,0,5,3
8584,2,41,0,5,2
2333,2,95,0,5,9
573,1,82,0,5,8
3660,4,57,0,4,7
9075,2,54,0,7,4
981,3,75,0,8,5
9370,7,44,0,4,7
1407,8,75,0,7,4
535,6,87,0,7,9
4315,4,88,1,9,7
4598,9,65,0,8,7
8622,7,70,1,4,1
8758,6,83,1,6,7
1434,9,42,1,9,6
6994,8,92,0,5,5
2579,4,93,0,6,1
9403,4,41,1,5,9
3269,9,54,1,9,2
9553,5,80,1,6,7
3838,7,41,1,4,2
1867,5,54,1,9,9
1454,4,82,0,8,2
1786,2,62,1,9,4
9912,4,65,1,7,7
7095,3,66,1,9,3
2521,3,40,1,8,0
4439,9,79,1,8,6
1820,6,55,0,7,1
5615,3,69,1,4,4
2929,3,65,0,5,4
51,2,89,1,6,1
4726,3,76,0,9,9
5716,8,60,0,5,3
5465,1,78,0,7,8
469,7,52,1,7,5
2629,5,92,0,8,6
6513,2,49,0,9,9
7467,6,53,1,8,9
3945,1,52,0,4,5
6204,2,88,0,9,3
4262,4,69,0,5,7
1858,9,96,0,6,9
9532,5,66,0,6,1
865,6,89,0,5,6
6390,4,58,0,5,1
7212,8,56,0,9,0
4921,7,75,1,8,4
8101,6,79,0,5,1
4792,5,81,0,6,8
8854,8,87,0,7,8
6250,2,60,1,5,4
5936,5,94,0,5,9
425,5,81,0,6,5
188,3,91,0,5,6
5629,4,76,0,4,8
4359,4,42,1,5,7
228,8,94,1,7,3
7757,9,75,0,9,0
7677,1,43,1,4,5
2741,3,65,0,9,1
1041,6,67,1,6,7
4075,9,67,1,6,8
9140,9,96,0,8,3
6118,7,47,0,4,5
6902,8,81,0,6,9
471,7,42,1,5,7
2921,7,86,1,6,9
1905,3,84,1,8,5
8876,1,87,1,7,0
801,7,99,1,9,3
1487,9,60,1,9,7
8441,1,98,1,9,6
227,1,87,1,9,6
7890,5,60,1,9,3
1128,1,96,1,9,4
5070,3,79,1,8,4
9166,8,68,0,6,1
2208,6,56,0,4,9
7993,4,42,0,7,3
9842,5,76,0,5,2
6559,5,57,1,6,8
9921,2,96,0,7,3
3153,9,52,1,9,2
4441,1,65,1,6,7
7505,7,44,0,6,7
8957,4,70,1,8,5
6215,9,93,1,5,9
9598,4,85,1,8,4
2144,5,55,1,9,7
7411,4,72,0,6,4
8929,8,56,0,6,7
2374,4,86,0,7,0
2577,9,52,0,4,3
1632,6,69,0,9,7
4832,4,80,0,5,0
2298,5,66,1,7,9
5033,8,55,0,5,5
156,8,40,1,7,7
8046,6,98,1,5,4
6706,3,99,0,8,6
3349,6,85,1,9,1
2879,8,64,1,9,6
3413,3,82,0,5,6
7768,3,60,1,9,1
4189,2,70,1,5,6
9610,4,48,1,5,8
9734,7,82,0,9,6
7251,6,89,1,9,9
7613,3,88,0,9,0
6919,4,61,1,6,7
9681,8,58,1,6,7
9671,5,59,0,6,6
4794,4,95,1,7,2
5654,7,71,0,4,1
2495,3,89,1,5,8
7304,3,94,1,6,2
2372,8,74,0,7,5
4091,8,85,1,8,9
9471,4,66,1,8,8
3461,1,85,1,9,1
7006,6,86,1,4,2
5391,7,84,1,7,6
7172,9,45,0,9,4
5696,8,73,0,4,5
5664,2,81,1,4,9
4503,4,66,1,8,5
2550,6,93,0,8,5
4715,7,84,0,6,3
847,6,75,0,6,9
3344,9,51,0,8,3
938,3,87,1,8,3
4825,3,62,0,8,4
9693,9,72,1,6,8
8863,6,55,1,9,2
8610,4,62,0,8,5
5354,7,82,0,4,4
5477,7,46,1,8,8
9723,3,45,1,9,2
756,6,66,1,6,8
4750,4,78,1,9,2
2644,9,54,1,7,6
4162,1,45,1,4,5
8648,3,69,1,9,4
3165,2,81,1,6,9
6497,1,95,1,6,6
5987,9,40,1,5,1
3873,4,53,0,7,1
7751,3,83,1,4,8
6523,4,73,1,7,0
3418,8,52,0,8,5
9904,2,84,1,4,6
2061,5,65,1,5,7
549,9,52,0,4,5
4453,8,60,1,5,0
2812,3,75,0,5,8
8777,6,77,0,7,6
8995,9,98,1,9,1
2549,9,40,1,8,9
6069,6,86,0,9,0
3169,5,52,1,9,3
7054,8,61,0,4,6
4828,4,60,0,9,6
9570,5,58,0,9,5
1259,1,95,1,8,1
8712,5,46,1,9,9
3661,1,90,1,7,1
7922,9,88,0,9,1
1024,7,94,0,4,2
4965,8,45,0,6,0
752,8,86,1,5,9
3942,2,68,1,7,8
3710,9,69,0,9,0
9960,8,66,0,8,6
1951,9,49,0,6,4
6314,5,43,0,7,7
351,5,58,1,4,5
1511,1,45,1,4,2
4829,9,87,0,5,9
9616,4,59,1,4,4
3746,8,53,0,7,3
5799,8,90,1,7,7
701,7,47,1,7,9
3693,2,77,0,9,1
4614,2,68,0,8,4
7213,7,73,1,6,8
561,5,80,1,4,4
2318,5,55,1,8,3
3098,5,48,1,7,0
4838,4,53,0,6,6
3150,6,96,0,9,1
5608,4,58,0,7,4
4299,6,95,0,5,8
4618,1,83,1,7,6
4074,3,58,0,4,7
3994,7,96,1,8,2
6373,7,49,0,9,0
6167,1,84,1,8,7
1047,6,93,1,7,4
2939,1,72,0,5,9
1808,9,91,1,7,1
3166,6,89,1,5,2
414,8,88,0,9,2
1340,9,56,1,5,4
9371,5,77,0,6,3
7740,8,81,0,4,5
5060,6,74,1,8,6
4633,8,75,0,4,9
4609,2,59,0,6,5
7366,7,51,0,9,3
1469,9,85,1,7,6
1710,7,75,0,7,1
6270,4,74,0,7,4
8732,2,42,1,4,7
2271,5,80,1,4,6
1583,5,47,0,7,5
1412,1,69,1,7,4
4111,4,67,0,7,8
7652,6,71,1,9,5
6693,7,59,1,9,6
1722,4,97,1,8,0
2024,2,89,0,8,0
2212,4,73,1,8,8
1507,3,63,1,8,1
2622,1,47,1,8,8
5290,6,57,1,4,5
9128,9,64,1,7,1
1321,3,41,1,7,3
842,8,90,0,9,5
1146,7,87,0,6,7
3624,6,55,0,8,3
4280,2,50,1,9,7
9010,9,75,0,8,1
8986,2,86,1,4,3
4681,6,84,0,9,5
463,3,76,1,5,6
1754,8,94,1,6,4
3936,1,54,1,7,6
7933,4,93,1,7,5
9460,8,65,0,4,8
4401,2,69,1,5,7
4700,5,41,1,5,7
8991,3,40,0,7,6
378,4,44,0,9,1
3106,4,53,0,8,9
8215,2,86,1,4,7
1335,8,79,1,8,7
1223,5,97,1,7,3
3848,1,71,0,7,8
2716,9,53,1,6,9
6837,7,53,0,4,2
2952,4,81,1,8,1
1350,6,95,0,9,4
1082,5,51,1,7,1
6453,4,50,0,6,8
1811,6,62,1,9,2
4121,7,42,0,4,4
1351,1,74,0,5,2
7817,5,53,0,8,9
8796,8,95,1,7,3
1894,1,62,0,6,7
6639,8,70,0,8,1
565,2,42,0,8,9
3903,7,71,0,9,9
7100,4,86,0,6,9
3673,6,46,0,4,7
4366,1,52,0,7,6
7545,1,83,1,9,0
1212,9,83,0,9,7
1189,7,88,1,9,4
3955,1,42,1,6,6
898,8,60,0,4,7
4786,3,42,1,9,8
8092,9,51,0,4,8
4602,6,77,1,8,4
8896,8,81,0,7,9
3454,6,65,0,4,3
3609,8,60,1,4,3
8157,1,86,1,9,1
8765,3,80,0,4,2
9677,4,40,1,7,9
7572,3,81,0,7,0
3909,3,58,0,9,6
4028,7,76,0,8,8
3931,6,97,0,8,4
2332,1,98,0,8,9
7302,8,42,0,8,8
2262,4,77,1,6,2
9260,2,72,1,6,7
5781,8,93,0,8,8
2595,2,42,0,7,9
7200,6,68,0,4,5
3593,1,58,1,5,6
5216,8,59,0,6,7
1030,2,55,1,8,4
7433,2,48,0,4,8
7877,2,54,1,9,6
8823,1,47,0,4,6
8236,9,48,1,6,2
5733,4,90,0,5,5
5378,4,67,1,7,1
7762,5,65,1,6,5
1755,8,45,1,4,4
7355,1,54,1,5,1
4161,8,45,0,4,5
231,8,93,1,9,7
8104,3,78,0,9,5
110,1,92,0,4,6
5457,7,76,0,9,2
6708,1,83,0,4,9
2514,6,56,0,4,3
5961,6,44,1,9,3
4279,4,92,0,4,8
4720,6,93,1,5,7
2917,6,58,0,4,3
9390,4,87,0,8,4
2992,2,95,0,7,7
2317,2,93,0,6,4
4847,6,75,0,8,9
4292,8,61,1,4,2
6991,1,96,0,8,0
1515,5,51,1,7,0
216,9,42,0,8,6
9213,5,72,0,4,7
9061,8,90,1,4,3
8417,6,75,0,4,7
2263,6,80,1,6,0
5326,2,40,0,4,4
6840,8,98,1,8,2
8498,5,71,1,8,3
6010,1,50,1,4,2
893,1,49,1,6,3
1490,7,46,1,5,2
3003,1,44,0,5,4
1850,3,95,0,4,9
5199,8,78,1,8,3
6380,5,70,0,7,8
324,9,81,1,7,9
1215,5,61,0,8,6
2899,8,48,1,4,8
2933,7,58,0,8,8
3658,7,67,1,8,0
8678,3,41,0,5,4
6673,3,78,1,4,3
7972,4,93,1,8,6
8586,4,94,0,4,3
6169,8,41,0,5,9
9724,4,62,1,6,9
1129,1,96,0,4,0
8856,9,82,1,7,8
2918,2,73,1,4,5
3902,3,46,1,7,4
7947,2,79,1,7,9
9097,3,43,0,6,7
3827,1,50,1,8,5
4923,9,49,0,7,5
208,4,47,1,5,1
3254,4,44,1,6,8
2795,5,62,1,9,4
5106,2,71,0,6,3
9011,4,60,1,4,8
798,9,92,0,5,2
9105,6,89,0,9,2
734,8,55,0,5,1
2244,3,71,1,5,9
178,4,66,0,4,5
5830,2,41,0,7,6
7008,8,73,1,5,8
1174,7,41,1,6,6
6642,6,93,1,8,1
5848,6,83,1,6,9
1831,6,75,1,5,2
7995,9,77,1,7,5
9279,8,68,0,6,9
7897,7,70,0,4,8
8597,6,66,0,5,8
8522,1,57,0,8,0
198,2,55,1,6,7
7928,9,76,1,4,0
7076,8,59,1,8,0
9284,8,51,1,8,2
1097,4,82,1,7,4
548,5,72,0,9,9
6908,3,72,0,5,3
8229,8,60,1,4,0
4706,8,98,0,9,6
6912,7,91,0,7,0
3369,1,89,0,7,9
7583,3,76,1,4,2
2532,5,69,1,7,7
4055,4,46,0,9,1
2314,9,60,0,7,0
6653,2,62,0,4,8
6885,2,96,0,4,9
5937,4,89,1,9,8
2815,5,41,1,9,6
3437,8,83,0,4,1
3880,3,97,1,5,1
4157,1,95,1,5,8
66,8,60,0,4,7
7866,8,53,1,6,4
616,5,58,1,9,5
1118,3,93,0,8,4
3260,7,86,1,9,9
3401,4,66,0,4,0
3692,6,91,1,5,8
937,1,67,1,8,0
6604,7,70,1,4,4
2572,1,62,0,7,1
7536,4,47,0,9,3
6324,9,49,1,6,3
622,2,62,1,9,4
1681,7,54,0,9,3
2126,2,84,1,7,6
787,8,93,0,8,4
3332,6,93,1,9,5
7236,3,93,1,6,5
1092,2,77,1,6,9
9103,6,66,0,7,2
5020,6,88,0,4,6
9353,5,79,0,4,9
5944,5,60,0,7,7
3280,7,53,0,5,9
8186,9,90,1,9,8
2201,8,91,0,4,6
1160,9,94,0,9,2
5581,8,54,0,8,4
3592,6,92,1,7,5
3952,8,91,1,5,4
9691,5,84,0,8,4
6247,6,40,0,6,5
4153,1,45,0,8,5
478,9,56,0,5,6
1352,6,88,0,5,4
4309,9,73,1,6,7
5698,7,43,1,9,6
2647,1,57,0,8,0
8460,1,60,1,4,1
8198,9,80,1,4,2
7689,9,59,1,4,0
9257,2,94,1,9,8
2589,7,77,1,6,9
1033,4,40,1,8,4
4686,9,82,0,7,6
5011,7,66,0,4,5
2598,7,97,0,4,6
5819,5,79,1,6,9
4608,9,51,1,4,7
8470,1,69,0,7,1
9040,2,62,0,8,9
7450,9,77,0,6,9
4671,3,59,1,8,9
5583,6,64,1,4,5
3717,2,80,1,4,1
9327,6,88,1,7,0
3928,9,64,1,6,3
3617,2,97,0,4,4
1425,1,99,0,9,7
9378,4,70,0,8,7
2919,8,53,0,5,4
3819,8,70,0,9,7
1871,4,52,1,5,1
5487,2,49,0,8,4
480,6,73,0,5,6
5972,1,99,1,4,3
9600,9,73,1,6,8
2888,8,49,1,4,3
6686,9,74,1,7,6
6315,3,49,0,8,3
527,3,49,0,8,4
4129,2,96,0,9,3
722,4,92,0,8,2
5120,7,64,1,6,9
4722,6,73,1,4,2
220,4,69,1,6,6
9188,8,90,0,5,1
1935,2,67,0,8,3
344,2,42,0,7,9
8332,8,87,0,5,8
9674,3,59,0,8,4
4483,2,67,0,9,6
9706,4,51,1,7,4
8486,9,53,0,9,6
9216,6,80,0,8,4
6903,4,48,0,6,8
9154,6,73,1,6,2
5960,8,58,0,6,6
7034,4,51,1,5,0
6051,2,60,0,6,6
2391,5,91,1,5,5
7181,2,74,0,5,0
4328,6,45,1,7,2
6452,8,69,1,9,4
1983,6,58,1,8,1
8246,4,50,1,4,5
1554,4,77,0,6,7
4850,8,61,0,8,0
9095,9,52,0,9,5
9922,9,94,1,7,8
7532,2,44,1,4,2
6853,9,95,0,5,6
4641,4,70,1,6,5
2881,8,57,0,5,3
1677,7,65,0,8,0
4885,6,87,1,4,2
1964,7,89,1,5,6
901,1,62,1,4,5
7130,3,65,1,4,9
3068,6,85,0,7,2
2296,8,99,0,9,6
6237,2,68,1,6,3
5862,3,82,0,8,1
296,6,71,0,5,2
8778,7,40,0,7,5
57,2,70,1,5,8
7242,5,60,1,4,1
4385,2,60,1,5,9
2984,9,48,0,6,7
27,9,84,1,6,6
4407,7,52,1,8,6
9877,8,46,1,7,7
2676,9,88,1,6,8
8545,8,45,1,6,8
5262,8,97,0,9,2
5841,3,83,1,9,1
7021,8,88,1,7,3
3248,1,80,0,8,2
5667,9,49,0,5,0
3884,6,95,1,6,7
7663,7,97,1,8,8
295,2,99,1,9,5
3161,9,97,0,6,6
2580,6,41,1,8,4
3870,1,91,1,9,7
9210,6,94,1,9,2
4404,5,94,0,8,3
6952,8,58,0,6,6
648,5,95,0,9,1
1370,3,81,0,8,4
9855,5,83,0,7,2
6992,2,94,0,4,9
5532,7,43,0,8,9
9620,5,86,1,7,6
5708,3,66,0,6,5
4209,1,43,0,9,1
681,9,72,0,7,6
434,4,45,1,7,0
9309,6,67,1,9,7
4824,8,68,0,8,2
9761,6,79,0,5,1
3159,4,75,0,8,6
1489,3,75,0,8,1
2987,9,80,1,9,9
812,1,64,0,6,9
1882,3,73,0,9,0
9267,3,66,0,8,1
4936,8,65,0,6,5
9935,9,42,1,7,2
1940,3,49,0,9,5
3296,5,48,1,7,4
3534,5,61,1,9,5
4525,6,40,0,6,1
3729,5,62,0,4,2
7015,8,82,1,9,6
1612,2,67,1,7,2
1181,1,81,0,4,6
1375,2,42,0,4,7
9224,5,66,0,7,5
3946,7,86,0,7,3
7210,1,40,0,5,9
5211,3,62,1,4,0
63,5,64,1,6,2
626,2,42,0,4,0
4421,3,94,0,4,7
1669,2,66,0,9,8
2112,5,43,0,8,2
5804,5,54,0,4,9
9763,1,65,0,8,1
4032,8,64,1,5,1
6545,3,58,1,4,5
7948,1,46,1,7,6
84,7,80,0,8,3
9180,7,80,0,7,2
1462,7,91,1,4,3
2283,8,46,0,9,0
2887,1,64,0,4,7
5834,5,61,1,8,7
684,8,54,0,9,7
4469,2,43,1,4,5
418,7,81,0,6,0
5228,3,62,1,5,3
4253,7,78,1,6,2
2709,6,95,0,5,5
2357,4,79,0,4,4
8059,9,49,0,9,4
1366,2,92,1,5,9
6277,5,40,0,5,9
3916,6,56,1,4,8
293,8,93,0,4,5
2639,8,65,1,4,2
9458,6,59,0,4,6
1506,3,99,1,4,8
9037,9,41,1,7,4
7393,3,66,1,6,9
1634,1,77,1,9,9
2457,9,91,0,5,2
9891,6,65,1,6,5
5558,1,91,0,6,0
9751,6,82,0,5,9
2300,9,64,1,9,8
4537,4,57,1,6,4
2938,1,58,0,4,2
1563,5,92,1,8,0
5689,2,87,0,6,6
8658,3,97,1,7,2
7517,5,66,0,8,2
1979,5,92,1,4,6
1883,4,86,1,8,9
3803,3,48,1,5,9
438,8,53,1,6,4
4635,6,70,0,4,9
4528,4,43,0,7,6
4332,1,97,1,5,0
3573,5,81,0,4,4
8741,2,85,0,8,6
8911,1,48,0,5,4
4817,4,49,1,7,6
6435,4,72,0,5,4
2986,5,60,0,9,2
7838,2,59,0,7,0
704,3,71,1,4,1
2280,6,95,0,6,9
8734,2,99,0,4,9
4147,4,45,1,8,8
5412,2,69,1,9,1
373,1,94,1,9,3
6405,8,67,0,7,6
9223,2,87,0,5,4
2585,4,56,1,7,3
1332,1,52,0,9,7
9572,9,77,0,5,8
5282,2,92,0,6,3
9131,9,40,0,5,8
8315,3,46,1,6,8
9809,5,95,1,8,5
1784,9,99,1,4,8
3182,4,68,1,9,7
494,1,49,0,8,7
7363,9,92,0,8,6
2860,4,78,1,6,9
7929,9,56,1,9,7
4041,8,60,0,7,9
7178,8,86,0,4,4
2897,5,80,1,9,9
366,7,52,0,6,3
849,3,90,1,5,6
7440,9,41,1,6,0
9454,9,95,0,5,7
4301,9,68,0,5,5
2653,1,69,0,9,5
3503,6,42,0,8,6
1541,8,52,1,7,0
4165,7,41,1,7,4
8866,4,88,1,4,5
322,6,74,0,5,9
2031,8,70,0,8,8
813,8,77,1,9,2
8939,9,95,0,8,4
9375,7,60,1,5,5
1079,7,93,1,7,4
2226,6,73,0,7,5
9136,7,70,0,8,7
9531,8,42,1,7,8
2705,9,43,0,8,6
6824,1,40,1,4,3
7556,1,98,1,8,6
1164,7,51,1,4,8
3261,9,96,1,8,6
4687,8,74,1,4,5
1450,1,79,1,8,3
3862,8,63,0,8,3
6103,7,77,0,6,1
9215,1,99,1,5,0
7120,4,44,0,4,0
6398,3,86,1,7,8
9588,6,81,1,5,2
6214,2,92,0,9,9
9645,8,46,0,9,2
5336,9,62,0,4,3
4056,5,69,1,9,7
9511,7,42,0,5,5
2999,6,54,0,6,0
9024,4,90,0,7,8
1231,4,52,1,9,2
1514,4,75,1,9,7
2313,5,67,1,7,6
1451,1,43,0,8,3
5267,8,91,0,8,5
6131,6,62,0,4,6
8531,8,50,1,5,6
6464,9,72,0,8,9
838,1,54,0,9,8
9915,9,89,0,9,3
8261,5,47,0,5,4
6414,3,96,1,7,4
8504,3,94,1,5,4
3567,9,74,0,4,8
9264,2,74,0,4,2
